eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Bergelmir,FALSE,19338300,0,0,0.142,158.5,1,0,0,3,0,0,0,NA,1005.9,0,12/12/04,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.036008594,6.481546982,1.86E-11,7.89E-14,0.129268551,5.32714E+13
Bestla,FALSE,20278000,0,0,0.521,145.2,1,0,0,3,0,0,0,NA,1083.6,0,13/12/2004,2.3E+14,NA,Secondary,Saturn,NA,NA,NA,0.034339925,6.181186508,1.86E-11,1.21E-13,0.135550058,7.42877E+13
Farbauti,FALSE,20387000,0,0,0.206,156.4,1,0,0,3,0,0,0,NA,1086.1,0,12/12/04,9E+13,NA,Secondary,Saturn,NA,NA,NA,0.034156325,6.14813852,1.86E-11,4.74E-14,0.136278678,2.87591E+13
Fenrir,FALSE,22454800,0,0,0.136,164.9,1,0,0,2,0,0,0,NA,1260.3,0,13/12/2004,5E+13,NA,Secondary,Saturn,NA,NA,NA,0.03101092,5.581965549,8.25E-12,2.63E-14,0.150101067,1.31702E+13
Fornjot,FALSE,25151200,0,0,0.206,170.4,1,0,0,3,0,0,0,NA,1490.9,0,12/12/04,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.027686353,4.983543529,1.86E-11,7.89E-14,0.168125388,3.14929E+13
Hati,FALSE,19775000,0,0,0.372,165.8,1,0,0,3,0,0,0,NA,1038.7,0,12/12/04,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.035213401,6.338412137,1.86E-11,7.89E-14,0.13218771,5.09445E+13
Hyrrokkin,FALSE,18437300,0,0,0.333,151.4,1,0,0,4,0,0,0,NA,931.8,0,12/12/04,3.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.037768328,6.7982991,3.30E-11,1.84E-13,0.123245738,1.36745E+14
Kari,FALSE,22077100,0,0,0.478,156.3,1,0,0,3,0,0,0,NA,1233.6,0,12/12/04,2.3E+14,NA,Secondary,Saturn,NA,NA,NA,0.031541507,5.677471226,1.86E-11,1.21E-13,0.147576298,6.26734E+13
Loge,FALSE,23065500,0,0,0.335,173.1,1,0,0,3,0,0,0,NA,1312,0,13/12/2004,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.030189894,5.43418092,1.86E-11,7.89E-14,0.154183344,3.74459E+13
Skoll,FALSE,17663300,0,0,0.464,161.2,1,0,0,3,0,0,0,NA,878.3,0,12/12/04,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.039423267,7.096188142,1.86E-11,7.89E-14,0.118071868,6.38538E+13
Surtur,FALSE,22920400,0,0,0.451,177.5,1,0,0,3,0,0,0,NA,1297.7,0,12/12/04,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.030381014,5.468582573,1.86E-11,7.89E-14,0.153213411,3.79216E+13
Anthe,FALSE,197700,0,0,0.001,0.1,1,0,0,1,0,0,0,NA,1.04,0,30/05/2007,5E+12,NA,Secondary,Saturn,NA,NA,NA,3.522220536,633.9996965,2.06E-12,2.63E-15,0.001321543,1.69901E+16
Jarnsaxa,FALSE,19356400,0,0,0.216,163.3,1,0,0,3,0,0,0,NA,964.7,0,5/1/06,1E+14,NA,Secondary,Saturn,NA,NA,NA,0.035974923,6.475486144,1.86E-11,5.26E-14,0.129389542,3.54479E+13
Greip,FALSE,18442200,0,0,0.326,179.8,1,0,0,3,0,0,0,NA,921.2,0,5/1/06,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.037758239,6.796483066,1.86E-11,7.89E-14,0.123278493,5.8574E+13
Tarqeq,FALSE,17909900,0,0,0.16,46.1,1,0,0,3,0,0,0,NA,887.5,0,5/1/06,2.3E+14,NA,Secondary,Saturn,NA,NA,NA,0.038880452,6.998481287,1.86E-11,1.21E-13,0.119720287,9.52315E+13
Aegaeon,FALSE,167500,0,0,2.00E-04,0.001,1,0,0,0.5,0,0,0,NA,0.808,19.63,15/08/2008,1E+11,NA,Secondary,Saturn,NA,NA,NA,4.157268657,748.3083582,5.16E-13,5.26E-17,0.001119668,4.7338E+14
S/2004 S 7,FALSE,21005800,0,0,0.58,165.1,1,0,0,3,0,0,0,NA,1103,0,12/12/04,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.03315013,5.967023394,1.86E-11,7.89E-14,0.1404151,4.51494E+13
S/2004 S 12,FALSE,19867500,0,0,0.401,164,1,0,0,3,0,0,0,NA,1048,0,12/12/04,9E+13,NA,Secondary,Saturn,NA,NA,NA,0.035049453,6.308901472,1.86E-11,4.74E-14,0.132806035,3.02828E+13
S/2004 S 13,FALSE,18408700,0,0,0.273,167.4,1,0,0,3,0,0,0,NA,906,0,12/12/04,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.037826951,6.80885125,1.86E-11,7.89E-14,0.123054559,5.87874E+13
S/2004 S 17,FALSE,19449900,0,0,0.259,166.6,1,0,0,2,0,0,0,NA,986,0,13/12/2004,5E+13,NA,Secondary,Saturn,NA,NA,NA,0.035801932,6.444347786,8.25E-12,2.63E-14,0.130014551,1.75539E+13
S/2006 S 1,FALSE,18797400,0,0,0.13,154.2,1,0,0,3,0,0,0,NA,970,0,4/1/06,1E+14,NA,Secondary,Saturn,NA,NA,NA,0.037044751,6.668055157,1.86E-11,5.26E-14,0.125652858,3.75875E+13
S/2006 S 3,FALSE,22100100,0,0,0.471,150.8,1,0,0,3,0,0,0,NA,1142,0,5/1/06,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.031508681,5.671562572,1.86E-11,7.89E-14,0.147730044,4.07889E+13
S/2007 S 2,FALSE,16723300,0,0,0.218,176.7,1,0,0,3,0,0,0,NA,800,0,1/5/07,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.04163921,7.495057794,1.86E-11,7.89E-14,0.111788356,7.12339E+13
S/2007 S 3,FALSE,18981900,0,0,0.13,177.2,1,0,0,3,0,0,0,NA,1100,0,1/5/07,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,0.036684684,6.603243089,1.86E-11,7.89E-14,0.126886164,5.52906E+13
S/2009 S 1,FALSE,117000,0,0,0,0,1,0,0,0.3,0,0,0,NA,0.4715,0,26/07/2009,1E+11,NA,Secondary,Saturn,NA,NA,NA,5.95164359,1071.295846,1.86E-13,5.26E-17,7.82E-04,9.70214E+14
Ariel,FALSE,190900,190670,191130,0.0012,0.04,1.59,0,0,581.1,0,0,0,NA,2.52038,60.4891,24/10/1851,1.29E+21,NA,Secondary,Uranus,NA,NA,NA,3.650723415,657.1302148,6.96E-07,6.79E-07,0.001276088,4.70E+24
Umbriel,FALSE,266000,265100,267500,0.0039,0.13,1.46,0,0,584.7,0,0,0,NA,4.14418,99.499,24/10/1851,1.22E+21,NA,Secondary,Uranus,NA,NA,NA,2.620025188,471.6045338,7.05E-07,6.42E-07,0.0017781,2.29E+24
Titania,FALSE,436300,435800,436800,0.0011,0.08,1.66,0,0,788.9,0,0,0,NA,8.70587,208.9408,11/01/1787,3.42E+21,NA,Secondary,Uranus,NA,NA,NA,1.597824662,287.6084391,1.28E-06,1.80E-06,0.002916485,2.39E+24
Oberon,FALSE,583500,582702,584336,0.0014,0.07,1.56,0,0,761.4,0,0,0,NA,13.46323,323.1176,11/01/1787,2.88E+21,NA,Secondary,Uranus,NA,NA,NA,1.194693059,215.0447506,1.20E-06,1.52E-06,0.003900457,1.12E+24
Miranda,FALSE,129900,129703,130041,0.0013,4.34,1.2,0,0,240,0,0,0,NA,1.41348,33.9235,16/02/1948,6.60E+19,NA,Secondary,Uranus,NA,NA,NA,5.362448037,965.2406467,1.19E-07,3.47E-08,8.68E-04,5.19E+23
Cordelia,FALSE,49800,0,0,3.00E-04,0.08,1,0,0,20,0,0,0,NA,0.33503,0,20/01/1986,4.50E+16,NA,Secondary,Uranus,NA,NA,NA,13.98317269,2516.971084,8.25E-10,2.37E-11,3.33E-04,2.41E+21
Ophelia,FALSE,53800,0,0,0.0099,0.1,1,0,0,21,0,0,0,NA,0.3764,0,20/01/1986,5.40E+16,NA,Secondary,Uranus,NA,NA,NA,12.94355019,2329.839033,9.09E-10,2.84E-11,3.60E-04,2.48E+21
Bianca,FALSE,59200,0,0,9.00E-04,0.19,1,0,0,27,0,0,0,NA,0.43458,0,23/01/1986,9.20E+16,NA,Secondary,Uranus,NA,NA,NA,11.76298986,2117.338176,1.50E-09,4.84E-11,3.96E-04,3.49E+21
Cressida,FALSE,61800,0,0,4.00E-04,0.01,1,0,0,41,0,0,0,NA,0.46357,0,9/1/86,3.40E+17,NA,Secondary,Uranus,NA,NA,NA,11.26833333,2028.3,3.47E-09,1.79E-10,4.13E-04,1.18E+22
Desdemona,FALSE,62700,0,0,1.00E-04,0.11,1,0,0,35,0,0,0,NA,0.47365,0,13/01/1986,1.80E+17,NA,Secondary,Uranus,NA,NA,NA,11.10649123,1999.168421,2.53E-09,9.47E-11,4.19E-04,6.08E+21
Juliet,FALSE,64400,0,0,7.00E-04,0.07,1,0,0,53,0,0,0,NA,0.49307,0,3/1/86,5.60E+17,NA,Secondary,Uranus,NA,NA,NA,10.81358696,1946.445652,5.79E-09,2.95E-10,4.30E-04,1.79E+22
Portia,FALSE,66100,0,0,1.00E-04,0.06,1,0,0,70,0,0,0,NA,0.5132,0,3/1/86,1.70E+18,NA,Secondary,Uranus,NA,NA,NA,10.53573374,1896.432073,1.01E-08,8.95E-10,4.42E-04,5.17E+22
Rosalind,FALSE,69900,0,0,1.00E-04,0.28,1,0,0,36,0,0,0,NA,0.55846,0,13/01/1986,2.50E+16,NA,Secondary,Uranus,NA,NA,NA,9.96248927,1793.248069,2.67E-09,1.32E-11,4.67E-04,6.80E+20
Belinda,FALSE,75300,0,0,1.00E-04,0.03,1,0,0,45,0,0,0,NA,0.62353,0,13/01/1986,4.90E+17,NA,Secondary,Uranus,NA,NA,NA,9.248167331,1664.67012,4.18E-09,2.58E-10,5.03E-04,1.15E+22
Puck,FALSE,86000,0,0,1.00E-04,0.32,1,0,0,81,0,0,0,NA,0.76183,0,30/12/1985,2.90E+18,NA,Secondary,Uranus,NA,NA,NA,8.09794186,1457.629535,1.35E-08,1.53E-09,5.75E-04,5.21E+22
Caliban,FALSE,7231100,0,0,0.1812,141.53,1,0,0,36,0,0,0,NA,-579.5,0,6/9/97,2.50E+17,NA,Secondary,Uranus,NA,NA,NA,0.09630319,17.33457427,2.67E-09,1.32E-10,0.048336918,6.34995E+17
Sycorax,FALSE,12179400,0,0,0.5219,159.42,1,0,0,75,0,0,0,NA,-1283.4,0,6/9/97,2.30E+18,NA,Secondary,Uranus,NA,NA,NA,0.05717991,10.29238386,1.16E-08,1.21E-09,0.08141426,2.05928E+18
Prospero,FALSE,16276800,0,0,0.4445,151.83,1,0,0,25,0,0,0,NA,-1977.3,0,18/07/1999,8.50E+16,NA,Secondary,Uranus,NA,NA,NA,0.042782795,7.700903126,1.29E-09,4.47E-11,0.108803688,4.26108E+16
Setebos,FALSE,17420400,0,0,0.5908,158.24,1,0,0,24,0,0,0,NA,-2234.8,0,18/07/1999,7.50E+16,NA,Secondary,Uranus,NA,NA,NA,0.039974168,7.195350279,1.19E-09,3.95E-11,0.116448182,3.28235E+16
Stephano,FALSE,8007400,0,0,0.2248,143.82,1,0,0,16,0,0,0,NA,-676.5,0,18/07/1999,2.20E+16,NA,Secondary,Uranus,NA,NA,NA,0.086964308,15.65357544,5.28E-10,1.16E-11,0.053526163,4.557E+16
Trinculo,FALSE,8505200,0,0,0.2194,166.93,1,0,0,9,0,0,0,NA,-758.1,0,13/08/2001,3.90E+15,NA,Secondary,Uranus,NA,NA,NA,0.08187356,14.73724075,1.67E-10,2.05E-12,0.05685375,7.16036E+15
Francisco,FALSE,4282900,0,0,0.1324,147.25,1,0,0,11,0,0,0,NA,-266.6,0,13/08/2001,7.20E+15,NA,Secondary,Uranus,NA,NA,NA,0.162589134,29.26604404,2.50E-10,3.79E-12,0.028629418,5.2131E+16
Margaret,FALSE,23808000,0,0,0.6772,57.37,1,0,0,10,0,0,0,NA,1694.8,0,29/08/2003,5.40E+15,NA,Secondary,Uranus,NA,NA,NA,0.029248656,5.264758065,2.06E-10,2.84E-12,0.15914665,1.26528E+15
Ferdinand,FALSE,20430000,0,0,0.3993,169.79,1,0,0,10,0,0,0,NA,-2823.4,0,13/08/2001,5.40E+15,NA,Secondary,Uranus,NA,NA,NA,0.034084777,6.135259912,2.06E-10,2.84E-12,0.136566115,1.71829E+15
Perdita,FALSE,76417,0,0,0,0.47,1,0,0,13,0,0,0,NA,0.638,0,18/01/1986,1.80E+19,NA,Secondary,Uranus,NA,NA,NA,9.112566576,1640.261984,3.49E-10,9.47E-09,5.11E-04,4.09E+23
Mab,FALSE,97736,0,0,0,0.13,1,0,0,12,0,0,0,NA,0.923,0,25/08/2003,1.00E+16,NA,Secondary,Uranus,NA,NA,NA,7.124846525,1282.472375,2.97E-10,5.26E-12,6.53E-04,1.39E+20
Cupid,FALSE,74392,0,0,0,0.1,1,0,0,9,0,0,0,NA,0.613,0,25/08/2003,3.80E+15,NA,Secondary,Uranus,NA,NA,NA,9.360562964,1684.901333,1.67E-10,2.00E-12,4.97E-04,9.12E+19
Triton,FALSE,354759,354753,354765,2.00E-05,157.345,2.05,0.78,0,1353.4,0,0,0,NA,5.87685,141.0444,10/10/1846,2.14E+22,NA,Secondary,Neptune,NA,NA,NA,1.966674277,354.0013699,3.78E-06,1.13E-05,0.002371417,2.26E+25
Nereid,FALSE,5513818,1372000,9655000,0.7512,7.23,1,0.071,0,170,0,0,0,NA,360.13619,0,1/5/49,3.00E+19,NA,Secondary,Neptune,NA,NA,NA,0.126321181,22.73781253,5.96E-08,1.58E-08,0.036857597,1.31E+20
Naiad,FALSE,48227,0,0,3.00E-04,4.74,1,0.01,0,33,0,0,0,48 x 30 x 26,0.2944,0,18/09/1989,2.00E+17,NA,Secondary,Neptune,NA,NA,NA,14.43952558,2599.114604,2.25E-09,1.05E-10,3.22E-04,1.14E+22
Thalassa,FALSE,50074,0,0,2.00E-04,0.21,1,0.013,0,33,0,0,0,54 x 50 x 26,0.31149,0,18/09/1989,4.00E+17,NA,Secondary,Neptune,NA,NA,NA,13.90691776,2503.245197,2.25E-09,2.11E-10,3.35E-04,2.12E+22
Despina,FALSE,52526,0,0,1.00E-04,0.07,1,0.023,0,33,0,0,0,90 x 74 x 64,0.33466,0,28/07/1989,2.00E+18,NA,Secondary,Neptune,NA,NA,NA,13.25771999,2386.389598,2.25E-09,1.05E-09,3.51E-04,9.63E+22
Galatea,FALSE,61953,0,0,1.00E-04,0.05,1,0.03,0,33,0,0,0,102 x 92 x 72,0.42875,0,28/07/1989,2.00E+18,NA,Secondary,Neptune,NA,NA,NA,11.24037577,2023.267638,2.25E-09,1.05E-09,4.14E-04,6.92E+22
Larissa,FALSE,73548,0,0,0.0014,0.2,1,0.034,0,33,0,0,0,108 x 102 x 84,0.55465,0,24/05/1981,5.00E+18,NA,Secondary,Neptune,NA,NA,NA,9.468306412,1704.295154,2.25E-09,2.63E-09,4.92E-04,1.23E+23
Proteus,FALSE,117646,0,0,4.00E-04,0.04,1,0.075,0,33,0,0,0,220 x 208 x 202,1.12232,0,16/06/1989,5.00E+19,NA,Secondary,Neptune,NA,NA,NA,5.919240773,1065.463339,2.25E-09,2.63E-08,7.86E-04,4.80E+23
Halimede,FALSE,16611000,0,0,0.571,134.1,1,0.01,0,30,0,0,0,NA,1879.7,0,14/08/2002,2.00E+17,NA,Secondary,Neptune,NA,NA,NA,0.041922341,7.546021311,1.86E-09,1.05E-10,0.111037677,9.62671E+16
Psamathe,FALSE,48096000,0,0,0.45,137.4,1,0,0,20,0,0,0,NA,9115.9,0,19/08/2003,2.00E+16,NA,Secondary,Neptune,NA,NA,NA,0.014478584,2.60614521,8.25E-10,1.05E-11,0.321501902,1.14829E+15
Sao,FALSE,22228000,0,0,0.293,48.5,1,0.01,0,20,0,0,0,NA,2914.1,0,14/08/2002,1.00E+17,NA,Secondary,Neptune,NA,NA,NA,0.031328145,5.639066043,8.25E-10,5.26E-11,0.148585003,2.68806E+16
Laomedeia,FALSE,23567000,0,0,0.424,34.7,1,0.01,0,20,0,0,0,NA,3167.9,0,13/08/2002,1.00E+17,NA,Secondary,Neptune,NA,NA,NA,0.029548182,5.31867272,8.25E-10,5.26E-11,0.157535665,2.39128E+16
Neso,FALSE,49285000,0,0,0.495,132.6,1,0,0,30,0,0,0,NA,9374,0,14/08/2002,1.00E+17,NA,Secondary,Neptune,NA,NA,NA,0.014129492,2.543308512,1.86E-09,5.26E-11,0.329449876,5.46776E+15
Charon,FALSE,17536,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,13/04/1978,2.40E+16,NA,Secondary,Pluto,NA,NA,NA,39.7111656,7148.009808,2.25E-09,1.26E-11,1.17E-04,1.04E+22
Nix,FALSE,48708,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,15/05/2005,2.40E+16,NA,Secondary,Pluto,NA,NA,NA,14.29693274,2573.447894,2.25E-09,1.26E-11,3.26E-04,1.34E+21
Hydra,FALSE,64749,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,15/05/2005,2.40E+16,NA,Secondary,Pluto,NA,NA,NA,10.75499236,1935.898624,2.25E-09,1.26E-11,4.33E-04,7.60E+20
Namaka,FALSE,39300,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,30/06/2005,2.40E+16,NA,Secondary,136108 Haumea,NA,NA,NA,17.71946565,3189.503817,2.25E-09,1.26E-11,2.63E-04,2.06E+21
Hiʻiaka,FALSE,49500,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,26/01/2005,2.40E+16,NA,Secondary,136108 Haumea,NA,NA,NA,14.06818182,2532.272727,2.25E-09,1.26E-11,3.31E-04,1.30E+21
Dysnomia,FALSE,30000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,??/09/2005,2.40E+16,NA,Secondary,136199 Eris,NA,NA,NA,23.2125,4178.25,2.25E-09,1.26E-11,2.01E-04,3.54E+21
Dia,FALSE,12555000,0,0,0.211,28.23,1,0,0,2,0,0,0,NA,287,0,27/12/2000,9E+13,NA,Secondary,Jupiter,NA,NA,NA,0.055463481,9.983426523,8.25E-12,4.74E-14,0.083924991,7.58313E+13
S/2004 S 3,FALSE,141000,0,0,0.02,0,1,0,0,2,0,0,0,NA,0.62,0,21/06/2004,2.40E+16,NA,Secondary,Saturn,NA,NA,NA,4.938609929,888.9497872,8.25E-12,1.26E-11,9.43E-04,1.60E+20
S/2004 S 4,FALSE,140100,0,0,0,0,1,0,0,2,0,0,0,NA,0.61,0,9/9/04,2.40E+16,NA,Secondary,Saturn,NA,NA,NA,4.970335475,894.6603854,8.25E-12,1.26E-11,9.37E-04,1.62E+20
S/2004 S 6,FALSE,140000,0,0,0.002,0.02,1,0,0,2.5,0,0,0,NA,0.61,0,28/10/2004,2.40E+16,NA,Secondary,Saturn,NA,NA,NA,4.973889286,895.3000714,1.29E-11,1.26E-11,9.36E-04,1.63E+20
S/2010 J 1,FALSE,23314335,0,0,0.32,163.2,1,0,0,1,0,0,0,NA,723.2,0,7/9/10,2.40E+16,NA,Secondary,Jupiter,NA,NA,NA,0.02986759,5.376166208,2.06E-12,1.26E-11,0.155846704,5.86414E+15
S/2010 J 2,FALSE,20320000,0,0,0.307,150.4,1,0,0,0.5,0,0,0,NA,588.1,0,8/9/10,2.40E+16,NA,Secondary,Jupiter,NA,NA,NA,0.034268824,6.168388287,5.16E-13,1.26E-11,0.13583081,7.71975E+15
1 Ceres,TRUE,413690250,382620000,445410000,0.07582,10.593,2.161,0.28,510,476.2,487,455,0.9619,NA,1681.63,9.07,01/01/1801,9.39E+20,4210000000,Primary,NA,NA,0.09,8.44E-06,0.001684396,0.303191279,4.68E-07,4.94E-07,2.765348518,7.28709E+17
6 Hebe,FALSE,362959000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,01/07/1847,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001918605,0.345348924,2.25E-09,1.26E-11,2.426231057,2.41955E+13
47171 Lempo,FALSE,5884000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,1/10/99,2.40E+16,NA,Primary,NA,NA,NA,NA,1.18E-04,0.02130311,2.25E-09,1.26E-11,39.33211063,92067254479
The Little Prince,FALSE,1190,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,1/11/99,2.40E+16,NA,Secondary,45 Eugenia,NA,NA,NA,585.1890756,105334.0336,2.25E-09,1.26E-11,7.95E-06,2.25E+24
762 Pulcova,FALSE,472579673,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,3/9/13,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001473561,0.265240989,2.25E-09,1.26E-11,3.158999996,1.42725E+13
4179 Toutatis,FALSE,377326000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,4/1/89,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001845553,0.332199477,2.25E-09,1.26E-11,2.52226852,2.23881E+13
50000 Quaoar,FALSE,6489054000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,4/6/02,2.40E+16,NA,Primary,NA,NA,NA,NA,1.07E-04,0.01931676,2.25E-09,1.26E-11,43.3766468,75698581941
2867 Šteins,FALSE,353495000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,4/11/69,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001969971,0.354594832,2.25E-09,1.26E-11,2.362968125,2.55084E+13
136199 Eris,TRUE,10180122852,2147483647,2147483647,0.44068,44.0445,2.52,0.82,1380,1163,0,0,0,NA,203830,25.92,5/1/05,1.66E+22,6590000000,Primary,NA,NA,0.96,3.03E-05,6.85E-05,0.012332945,2.79E-06,8.74E-06,68.04991812,2.12736E+16
5 Astraea,FALSE,384877000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,08/12/1845,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001809344,0.325681971,2.25E-09,1.26E-11,2.572743838,2.15182E+13
5145 Pholus,FALSE,3055227000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,9/1/92,2.40E+16,NA,Primary,NA,NA,NA,NA,2.28E-04,0.04102723,2.25E-09,1.26E-11,20.42293106,3.41479E+11
4769 Castalia,FALSE,159053000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,9/8/89,2.40E+16,NA,Primary,NA,NA,NA,NA,0.004378258,0.788086361,2.25E-09,1.26E-11,1.063203636,1.25999E+14
Remus,FALSE,706,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,9/8/05,2.40E+16,NA,Secondary,87 Sylvia,NA,NA,NA,986.3668555,177546.034,2.25E-09,1.26E-11,4.72E-06,6.40E+24
624 Hektor,FALSE,781183000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,10/2/07,2.40E+16,NA,Primary,NA,NA,NA,NA,8.91E-04,0.160458561,2.25E-09,1.26E-11,5.221885822,5.2233E+12
216 Kleopatra,FALSE,417796000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,10/04/1880,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001666782,0.300020824,2.25E-09,1.26E-11,2.792793761,1.82609E+13
3753 Cruithne,FALSE,149260000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,10/10/86,2.40E+16,NA,Primary,NA,NA,NA,NA,0.004665517,0.839792979,2.25E-09,1.26E-11,0.997741474,1.43075E+14
3 Junon,FALSE,399480000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,12/01/1804,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001743204,0.31377666,2.25E-09,1.26E-11,2.670358864,1.99738E+13
10 Hygiea,FALSE,469345000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,12/04/1849,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001483717,0.267069,2.25E-09,1.26E-11,3.137377543,1.44699E+13
21 Lutetia,FALSE,364277000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,12/11/1852,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001911663,0.344099408,2.25E-09,1.26E-11,2.435041343,2.40208E+13
253 Mathilde,FALSE,395900000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,12/11/1885,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001758967,0.316614044,2.25E-09,1.26E-11,2.646428042,2.03367E+13
Uranus,TRUE,2870658186,2147483647,2147483647,0.0457,0.772,1.27,8.87,21380,25362,25559,24973,0.02293,NA,30685.4,-17.24,13/03/1781,8.68E+25,6.83E+13,Primary,NA,0.3,0.488,0.296744357,2.51E-04,0.045253287,0.001326544,0.045684211,19.18916474,1.40E+21
7 Iris,FALSE,357019000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,13/08/1847,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001950526,0.35109476,2.25E-09,1.26E-11,2.38652461,2.50074E+13
433 Eros,FALSE,218155000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,13/08/1898,2.40E+16,NA,Primary,NA,NA,NA,NA,0.003192111,0.57458,2.25E-09,1.26E-11,1.458276104,6.69761E+13
Vanth,FALSE,8980,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,13/11/2005,2.40E+16,NA,Secondary,90482 Orcus,NA,NA,NA,77.54732739,13958.51893,2.25E-09,1.26E-11,6.00E-05,3.95E+22
90377 Sedna,FALSE,75659770000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,14/11/2003,2.40E+16,NA,Primary,NA,NA,NA,NA,9.20E-06,0.001656726,2.25E-09,1.26E-11,505.7543242,556827258.1
10199 Chariklo,FALSE,2380000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,15/02/1997,2.40E+16,NA,Primary,NA,NA,NA,NA,2.93E-04,0.052667017,2.25E-09,1.26E-11,15.90931735,5.62726E+11
87 Sylvia,FALSE,522135000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,16/05/1866,2.40E+16,NA,Primary,NA,NA,NA,NA,0.001333707,0.240067224,2.25E-09,1.26E-11,3.490256897,1.16919E+13
(243) Ida I Dactyl,FALSE,108,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,17/02/1994,2.40E+16,NA,Secondary,243 Ida,NA,NA,NA,6447.916667,1160625,2.25E-09,1.26E-11,7.22E-07,2.73E+26
90482 Orcus,FALSE,5862440000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,17/02/2004,2.40E+16,NA,Primary,NA,NA,NA,NA,1.19E-04,0.021381456,2.25E-09,1.26E-11,39.18799093,92745681898
Pluto,TRUE,5906440628,2147483647,2147483647,0.2488,17.16,1.89,0.62,1210,1188.3,1188.3,1195,0,NA,90465,-153.2928,18/02/1930,1.30E+22,7150000000,Primary,NA,NA,0.575,3.10E-05,1.18E-04,0.02125738,2.91E-06,6.84E-06,39.48211696,4.94915E+16
5335 Damocles,FALSE,8368303000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,18/02/1991,2.40E+16,NA,Primary,NA,NA,NA,NA,8.32E-05,0.014978843,2.25E-09,1.26E-11,55.93865047,45517219747
