eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Taygete,FALSE,23363000,0,0,0.252,165.2,1,0,0,2.5,0,0,0,NA,732.2,0,23/11/2000,1.6E+14,NA,Secondary,Jupiter,NA,NA,NA,0.02980544,5.364979241,1.29E-11,8.42E-14,0.156172009,3.89316E+13
Chaldene,FALSE,23179000,0,0,0.251,165.2,1,0,0,1.9,0,0,0,NA,723.8,0,23/11/2000,7.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.030042016,5.407562966,7.44E-12,3.95E-14,0.154942045,1.85401E+13
Harpalyke,FALSE,21104000,0,0,0.226,148.6,1,0,0,2.2,0,0,0,NA,623.3,0,23/11/2000,1.2E+14,NA,Secondary,Jupiter,NA,NA,NA,0.03299584,5.939251137,9.98E-12,6.32E-14,0.141071527,3.57842E+13
Kalyke,FALSE,23564000,0,0,0.245,165.2,1,0,0,2.6,0,0,0,NA,743,0,23/11/2000,1.9E+14,NA,Secondary,Jupiter,NA,NA,NA,0.029551205,5.319216941,1.39E-11,1.00E-13,0.157515611,4.54459E+13
Iocaste,FALSE,21272000,0,0,0.216,149.4,1,0,0,2.6,0,0,0,NA,631.5,0,23/11/2000,1.9E+14,NA,Secondary,Jupiter,NA,NA,NA,0.032735267,5.892348063,1.39E-11,1.00E-13,0.142194537,5.57669E+13
Erinome,FALSE,23283000,0,0,0.266,164.9,1,0,0,1.6,0,0,0,NA,728.3,0,23/11/2000,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029907813,5.383406262,5.28E-12,2.37E-14,0.155637242,1.10249E+13
Isonoe,FALSE,23231000,0,0,0.246,165.2,1,0,0,1.9,0,0,0,NA,725.5,0,23/11/2000,7.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029974771,5.39545874,7.44E-12,3.95E-14,0.155289643,1.84572E+13
Praxidike,FALSE,21148000,0,0,0.23,149,1,0,0,3.4,0,0,0,NA,625.3,0,23/11/2000,4.3E+14,NA,Secondary,Jupiter,NA,NA,NA,0.032927246,5.926904294,2.38E-11,2.26E-13,0.141365648,1.27694E+14
Autonoe,FALSE,24033000,0,0,0.334,152.9,1,0.0015,0,2,0,0,0,NA,715.4,0,10/12/01,9E+13,NA,Secondary,Jupiter,NA,NA,NA,0.028974493,5.215408813,8.25E-12,4.74E-14,0.160650682,2.0695E+13
Thyone,FALSE,21192000,0,0,0.229,148.5,1,0.0015,0,2,0,0,0,NA,627.3,0,11/12/01,9E+13,NA,Secondary,Jupiter,NA,NA,NA,0.032858815,5.914586636,8.25E-12,4.74E-14,0.14165977,2.66157E+13
Hermippe,FALSE,21300000,0,0,0.21,150.7,1,0.0015,0,2,0,0,0,NA,633.9,0,19/12/2001,9E+13,NA,Secondary,Jupiter,NA,NA,NA,0.032692207,5.884597183,8.25E-12,4.74E-14,0.142381706,2.63465E+13
Aitne,FALSE,23315000,0,0,0.264,165.1,1,0.0012,0,1.5,0,0,0,NA,730.2,0,19/12/2001,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.02986676,5.376016727,4.64E-12,2.37E-14,0.155851149,1.09946E+13
Eurydome,FALSE,23148000,0,0,0.276,150.3,1,0.0012,0,1.5,0,0,0,NA,723.9,0,19/12/2001,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.030082232,5.414801711,4.64E-12,2.37E-14,0.154734823,1.11539E+13
Euanthe,FALSE,21038000,0,0,0.232,148.9,1,0.0012,0,1.5,0,0,0,NA,620.6,0,11/12/01,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.03309932,5.95787765,4.64E-12,2.37E-14,0.140630344,1.35034E+13
Euporie,FALSE,19339000,0,0,0.144,145.8,1,0,0,1,0,0,0,NA,553.1,0,11/12/01,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.036007188,6.481293759,2.06E-12,7.89E-15,0.12927323,5.32675E+12
Orthosie,FALSE,21164000,0,0,0.281,145.9,1,8.10E-04,0,1,0,0,0,NA,622.6,0,11/12/01,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.03290224,5.922403137,2.06E-12,7.89E-15,0.141472602,4.4477E+12
Sponde,FALSE,23790000,0,0,0.312,151,1,8.10E-04,0,1,0,0,0,NA,748.3,0,19/12/2001,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029270408,5.268673392,2.06E-12,7.89E-15,0.159026328,3.51999E+12
Kale,FALSE,23302000,0,0,0.26,165,1,8.10E-04,0,1,0,0,0,NA,729.5,0,19/12/2001,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029883401,5.379012102,2.06E-12,7.89E-15,0.155764249,3.66897E+12
Pasithee,FALSE,23090000,0,0,0.267,165.1,1,8.10E-04,0,1,0,0,0,NA,716.3,0,11/12/01,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.030157774,5.428399307,2.06E-12,7.89E-15,0.154347117,3.73665E+12
Hegemone,FALSE,23566000,0,0,0.328,155.2,1,0,0,2,0,0,0,NA,739.6,0,2003,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029548672,5.318760927,8.25E-12,2.37E-14,0.15752898,1.07617E+13
Mneme,FALSE,21036000,0,0,0.227,148.6,1,0,0,2,0,0,0,NA,620,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.033102491,5.958448374,8.25E-12,7.89E-15,0.140616975,4.50199E+12
Aoede,FALSE,23969000,0,0,0.432,158.3,1,0,0,2,0,0,0,NA,761.5,0,2003,9E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029051859,5.229334557,8.25E-12,4.74E-14,0.160222869,2.08057E+13
Thelxinoe,FALSE,21165000,0,0,0.221,151.4,1,0,0,2,0,0,0,NA,628.1,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.032900732,5.922131821,8.25E-12,7.89E-15,0.141479286,4.44728E+12
Arche,FALSE,23355000,0,0,0.259,165,1,0.0012,0,1.5,0,0,0,NA,762.7,0,31/10/2002,4.15E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029815607,5.366809249,4.64E-12,2.18E-14,0.156118532,1.01048E+13
Kallichore,FALSE,23273000,0,0,0.264,165.5,1,0,0,2,0,0,0,NA,764.7,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029920681,5.385722511,8.25E-12,7.89E-15,0.155570396,3.67812E+12
Helike,FALSE,21064000,0,0,0.156,154.8,1,0,0,4,0,0,0,NA,634.8,0,2003,9E+13,NA,Secondary,Jupiter,NA,NA,NA,0.033058583,5.950545006,3.30E-11,4.74E-14,0.140804143,2.69402E+13
Carpo,FALSE,17078000,0,0,0.43,51.4,1,0,0,3,0,0,0,NA,456.1,0,2003,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.040774388,7.339389858,1.86E-11,2.37E-14,0.114159379,2.04917E+13
Eukelade,FALSE,23322000,0,0,0.272,165.5,1,0,0,4,0,0,0,NA,746.4,0,2003,9E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029857902,5.374422434,3.30E-11,4.74E-14,0.155897941,2.19761E+13
Cyllene,FALSE,23787000,0,0,0.319,149.3,1,0,0,1,0,0,0,NA,737.8,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029274099,5.269337874,2.06E-12,7.89E-15,0.159006274,3.52088E+12
Kore,FALSE,24486000,0,0,0.325,145,1,0,0,1,0,0,0,NA,779.2,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.028438414,5.118914482,2.06E-12,7.89E-15,0.1636788,3.32273E+12
